City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
275,Auki,-8.7676,160.7034,82.65,76,100,7.67,SB,overcast clouds,2022-04-07 22:20:34
276,Ada,43.4166,-116.1262,68.13,22,0,9.22,US,clear sky,2022-04-07 22:20:34
277,Plymouth,41.8334,-70.8328,51.85,76,0,12.66,US,clear sky,2022-04-07 22:20:34
278,Leningradskiy,69.3833,178.4167,-4.05,89,100,11.63,RU,overcast clouds,2022-04-07 22:20:35
279,Beberibe,-4.1797,-38.1306,78.15,89,99,8.72,BR,overcast clouds,2022-04-07 22:20:35
280,General Cepeda,25.3833,-101.45,68.07,23,23,15.7,MX,few clouds,2022-04-07 22:20:35
281,Mao,39.8885,4.2658,57.76,77,0,12.66,ES,clear sky,2022-04-07 22:20:36
282,Zaozerne,45.1582,33.2787,48.79,72,93,7.7,UA,overcast clouds,2022-04-07 22:20:36
283,Kargasok,59.0556,80.8572,26.47,94,46,7.34,RU,scattered clouds,2022-04-07 22:20:36
284,Pisco,-13.7,-76.2167,69.85,78,0,26.46,PE,clear sky,2022-04-07 22:20:37
285,Santiago,-33.4569,-70.6483,83.64,25,0,10.36,CL,clear sky,2022-04-07 22:20:22
286,Selma,36.5708,-119.6121,93.18,28,9,1.97,US,clear sky,2022-04-07 22:20:37
287,San Patricio,28.017,-97.5169,82.27,16,0,15.32,US,clear sky,2022-04-07 22:20:38
288,Olinda,-8.0089,-34.8553,82.13,74,20,6.91,BR,few clouds,2022-04-07 22:20:38
289,Viedma,-40.8135,-62.9967,60.08,74,100,12.53,AR,overcast clouds,2022-04-07 22:20:38
290,Hit,33.6416,42.8251,73.53,27,100,6.42,IQ,overcast clouds,2022-04-07 22:20:39
291,Spearfish,44.4908,-103.8594,45.88,49,90,25.32,US,overcast clouds,2022-04-07 22:20:39
292,Tautira,-17.7333,-149.15,82.06,76,22,19.55,PF,light rain,2022-04-07 22:20:40
293,Ewa Beach,21.3156,-158.0072,85.95,44,20,25.32,US,few clouds,2022-04-07 22:11:41
294,Svetlogorsk,52.6333,29.7333,50.0,67,100,16.24,BY,overcast clouds,2022-04-07 22:12:57
295,Tateyama,34.9833,139.8667,56.14,74,0,10.98,JP,clear sky,2022-04-07 22:20:40
296,Cabo San Lucas,22.8909,-109.9124,87.62,34,0,6.91,MX,clear sky,2022-04-07 22:07:26
297,Wuwei,37.9281,102.6414,54.7,16,78,7.47,CN,broken clouds,2022-04-07 22:20:41
298,Liberia,6.5,-9.5,76.05,85,100,0.81,LR,overcast clouds,2022-04-07 22:20:41
299,Grindavik,63.8424,-22.4338,30.15,69,75,8.05,IS,broken clouds,2022-04-07 22:20:41
300,Davila,18.4726,120.5763,76.98,88,98,28.21,PH,overcast clouds,2022-04-07 22:20:42
301,Mushie,-3.0167,16.9,73.76,86,100,2.66,CD,overcast clouds,2022-04-07 22:20:42
302,Aswan,24.0934,32.907,84.47,14,12,9.53,EG,few clouds,2022-04-07 22:20:43
303,Cayenne,4.9333,-52.3333,77.09,1,75,10.36,GF,moderate rain,2022-04-07 22:20:43
304,Redlands,34.0556,-117.1825,97.05,9,0,4.61,US,clear sky,2022-04-07 22:19:03
305,Waingapu,-9.6567,120.2641,77.43,81,85,3.83,ID,overcast clouds,2022-04-07 22:20:43
306,Nome,64.5011,-165.4064,-1.84,59,0,17.27,US,clear sky,2022-04-07 22:20:44
307,Los Andes,-32.8337,-70.5983,76.01,23,0,5.75,CL,clear sky,2022-04-07 22:20:44
308,Meulaboh,4.1363,96.1285,75.63,85,99,3.8,ID,overcast clouds,2022-04-07 22:20:45
309,Krasnoselkup,65.7,82.4667,0.25,99,95,6.08,RU,overcast clouds,2022-04-07 22:20:45
310,Marzuq,14.4,46.4667,67.5,43,79,6.04,YE,broken clouds,2022-04-07 22:20:45
311,Husavik,66.0449,-17.3389,25.68,83,100,2.42,IS,overcast clouds,2022-04-07 22:20:46
312,Zhanaozen,43.3,52.8,56.88,51,99,13.67,KZ,overcast clouds,2022-04-07 22:20:46
313,Pevek,69.7008,170.3133,-0.74,84,100,7.99,RU,overcast clouds,2022-04-07 22:20:14
314,Mugur-Aksy,50.35,90.5,31.87,75,95,4.9,RU,overcast clouds,2022-04-07 22:20:47
315,Buala,-8.145,159.5921,81.66,80,98,11.18,SB,light rain,2022-04-07 22:21:47
316,Tongren,27.7172,109.1853,60.73,65,0,2.3,CN,clear sky,2022-04-07 22:21:47
317,Zarand,30.8127,56.564,66.43,17,38,7.16,IR,scattered clouds,2022-04-07 22:21:48
318,Yenagoa,4.9247,6.2642,79.83,85,26,2.75,NG,scattered clouds,2022-04-07 22:21:48
319,Dingle,10.9995,122.6711,74.52,94,100,8.32,PH,heavy intensity rain,2022-04-07 22:21:49
320,Harrisburg,40.2737,-76.8844,49.66,91,100,4.61,US,moderate rain,2022-04-07 22:20:04
321,Ati,13.2154,18.3353,89.33,11,1,10.49,TD,clear sky,2022-04-07 22:21:49
322,Teya,60.3778,92.6267,25.72,89,100,6.71,RU,light snow,2022-04-07 22:21:49
323,Berlevag,70.8578,29.0864,32.0,78,70,22.79,NO,broken clouds,2022-04-07 22:21:50
324,Nanortalik,60.1432,-45.2371,29.68,86,99,12.03,GL,overcast clouds,2022-04-07 22:21:50
325,Parabel,58.6978,81.4825,26.6,95,80,7.14,RU,broken clouds,2022-04-07 22:21:50
326,Los Llanos De Aridane,28.6585,-17.9182,58.75,76,40,11.5,ES,scattered clouds,2022-04-07 22:21:51
327,Nouakchott,18.0858,-15.9785,84.13,40,4,13.65,MR,clear sky,2022-04-07 22:21:51
