City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
249,Sur,OM,87.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
252,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
258,Pilar,BR,85.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
260,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
261,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
267,Ocho Rios,JM,80.8,broken clouds,18.4025,-77.1048,Hibiscus Lodge
277,Muncar,ID,75.87,broken clouds,-8.4333,114.3333,Zaky Homestay
278,Sorong,ID,78.06,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
279,Abnub,EG,89.29,scattered clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
281,Pau Dos Ferros,BR,85.03,light rain,-6.1125,-38.2063,Hertz Center Hotel
282,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
285,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
286,Tayu,ID,79.74,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
290,Campo Grande,BR,85.55,scattered clouds,-20.4428,-54.6464,OYO Athenas Apart Hotel
292,Bengkulu,ID,78.15,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
296,Galesong,ID,77.02,few clouds,-5.3166,119.3661,Sapriadi Appy
299,San Andres,CO,80.13,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
300,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
301,San Cristobal,VE,83.52,scattered clouds,7.7669,-72.225,Pirineos
305,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
306,Mana,GF,79.41,overcast clouds,5.6592,-53.7767,LE SAMANA
308,Axim,GH,86.54,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
315,Ilheus,BR,85.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
317,Iralaya,HN,80.06,few clouds,15.0,-83.2333,Iglesia morava renovada
321,Coromandel,BR,84.09,clear sky,-18.4733,-47.2003,Hotel Dona Adélia
323,Lazaro Cardenas,MX,80.35,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
324,Muli,MV,85.06,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
326,Banjar,ID,75.38,overcast clouds,-8.19,114.9675,The Hamsa Resort
329,Shushtar,IR,87.28,clear sky,32.0455,48.8567,چاپ یاس کبود
333,Mount Isa,AU,82.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
334,Tarakan,ID,81.77,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
343,Charagua,BO,86.36,broken clouds,-19.8,-63.2167,Hotel
