City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
59,Pori,61.4833,21.7833,42.87,52,100,10.36,FI,overcast clouds,2022-04-11 14:53:55
60,Gvarv,59.3875,9.1737,50.29,44,8,5.01,NO,clear sky,2022-04-11 14:53:55
61,Jimma,7.6667,36.8333,66.2,78,82,1.39,ET,moderate rain,2022-04-11 14:53:56
62,Sao Joao Da Barra,-21.6403,-41.0511,84.29,66,9,7.67,BR,clear sky,2022-04-11 14:53:56
63,Kirkenaer,60.4564,12.0582,43.43,42,95,5.95,NO,overcast clouds,2022-04-11 14:53:56
64,Fairbanks,64.8378,-147.7164,24.82,84,0,3.44,US,clear sky,2022-04-11 14:52:20
65,Dickinson,29.4608,-95.0513,76.15,86,40,9.22,US,mist,2022-04-11 14:53:57
66,Poum,-20.2333,164.0167,78.82,75,9,9.28,NC,clear sky,2022-04-11 14:53:57
67,Thompson,55.7435,-97.8558,26.76,80,75,8.05,CA,broken clouds,2022-04-11 14:52:38
68,Lagoa,39.05,-27.9833,58.73,89,100,22.28,PT,overcast clouds,2022-04-11 14:53:58
69,Sarkand,45.41,79.9186,56.1,46,100,3.11,KZ,overcast clouds,2022-04-11 14:53:58
70,Namibe,-15.1961,12.1522,79.43,69,40,9.22,AO,scattered clouds,2022-04-11 14:53:58
71,Iqaluit,63.7506,-68.5145,15.53,72,20,15.01,CA,few clouds,2022-04-11 14:53:59
72,Cape Town,-33.9258,18.4232,82.81,39,0,12.66,ZA,clear sky,2022-04-11 14:53:30
73,Tefe,-3.3542,-64.7114,86.11,70,20,6.91,BR,few clouds,2022-04-11 14:53:59
74,Portland,45.5234,-122.6762,37.26,93,100,9.22,US,snow,2022-04-11 14:52:49
75,Yibin,28.7667,104.6238,71.76,83,100,12.73,CN,moderate rain,2022-04-11 14:54:00
76,Atasu,48.6814,71.6433,49.71,39,34,16.6,KZ,scattered clouds,2022-04-11 14:53:44
77,Touros,-5.1989,-35.4608,87.76,57,98,12.93,BR,overcast clouds,2022-04-11 14:50:07
78,Isfana,39.8386,69.5306,63.16,49,72,4.05,KG,broken clouds,2022-04-11 14:54:00
79,Dunedin,-45.8742,170.5036,57.79,72,100,11.99,NZ,overcast clouds,2022-04-11 14:54:01
80,Dhaulpur,26.7,77.9,94.93,8,28,2.62,IN,scattered clouds,2022-04-11 14:54:01
81,Atuona,-9.8,-139.0333,78.87,78,23,17.45,PF,few clouds,2022-04-11 14:54:01
82,Mujiayingzi,42.1167,118.7833,47.62,37,100,14.34,CN,overcast clouds,2022-04-11 14:54:02
83,Lukovetskiy,64.2956,41.9211,40.1,87,89,8.93,RU,overcast clouds,2022-04-11 14:54:02
84,Batsfjord,70.6345,29.7185,35.53,93,75,12.66,NO,broken clouds,2022-04-11 14:54:03
85,Nome,64.5011,-165.4064,28.47,69,0,17.27,US,clear sky,2022-04-11 14:51:16
86,Bethel,41.3712,-73.414,53.58,50,0,5.99,US,clear sky,2022-04-11 14:50:25
87,Nanortalik,60.1432,-45.2371,34.88,54,89,6.26,GL,overcast clouds,2022-04-11 14:54:03
88,Norman Wells,65.282,-126.8329,5.04,72,100,10.36,CA,light snow,2022-04-11 14:50:36
89,Chiang Mai,18.75,99.0,87.06,58,20,1.14,TH,few clouds,2022-04-11 14:54:04
90,Talara,-4.5772,-81.2719,75.96,69,0,18.41,PE,clear sky,2022-04-11 14:54:04
91,Hermanus,-34.4187,19.2345,81.81,59,0,3.49,ZA,clear sky,2022-04-11 14:54:04
92,Byron Bay,-28.65,153.6167,66.09,89,16,6.98,AU,few clouds,2022-04-11 14:52:51
93,Ayr,55.4627,-4.6339,56.32,47,20,19.57,GB,few clouds,2022-04-11 14:55:05
94,Te Anau,-45.4167,167.7167,51.3,97,100,3.0,NZ,light rain,2022-04-11 14:55:05
95,Ust-Ishim,57.6935,71.1665,33.46,97,94,5.35,RU,overcast clouds,2022-04-11 14:55:06
96,Birao,10.2849,22.7882,102.97,15,79,6.33,CF,broken clouds,2022-04-11 14:55:06
97,Castro,-24.7911,-50.0119,77.05,56,59,6.71,BR,moderate rain,2022-04-11 14:55:06
98,Severo-Kurilsk,50.6789,156.125,26.38,79,38,9.13,RU,scattered clouds,2022-04-11 14:55:07
99,Sobolevo,54.4299,31.8996,45.45,48,98,9.93,RU,overcast clouds,2022-04-11 14:55:07
100,Vilyuysk,63.7553,121.6247,20.14,91,100,1.14,RU,overcast clouds,2022-04-11 14:55:07
101,Vao,-22.6667,167.4833,76.08,81,14,14.36,NC,few clouds,2022-04-11 14:55:08
102,Tiarei,-17.5333,-149.3333,75.22,75,12,12.66,PF,few clouds,2022-04-11 14:55:08
103,Bandarbeyla,9.4942,50.8122,82.58,70,4,9.78,SO,clear sky,2022-04-11 14:55:09
104,Port Moresby,-9.4431,147.1797,76.42,88,20,8.05,PG,few clouds,2022-04-11 14:50:39
105,Manaus,-3.1019,-60.025,82.9,89,75,4.61,BR,broken clouds,2022-04-11 14:51:33
106,Elk Plain,47.0532,-122.3976,41.59,89,75,16.11,US,light intensity drizzle,2022-04-11 14:55:09
